Longitude,Latitude,Police Force,Date,Local Authority District,Accident Severity,Weather Conditions,Road Surface Conditions,geometry
-1.726679,55.278922,Northumbria Police,4/4/2019,Northumberland,Fatal,Snowing no high winds.,Frost or Ice,POINT (-1.726679 55.278922)
-1.617468,54.982974,Northumbria Police,6/2/2018,Newcastle upon Tyne,Fatal,Snowing no high winds.,Wet or Damp,POINT (-1.617468 54.982974)
-1.447127,54.865957,Northumbria Police,9/2/2017,Sunderland,Fatal,Snowing no high winds.,Wet or Damp,POINT (-1.447127 54.865957)
-1.547628,54.78855,Durham Constabulary,10/2/2017,County Durham,Fatal,Snowing no high winds.,Wet or Damp,POINT (-1.547628 54.78855)
-1.786924,54.841128,Durham Constabulary,29/12/2017,County Durham,Fatal,Snowing no high winds.,Snow,POINT (-1.786924 54.841128)
-1.554843,54.785773,Durham Constabulary,23/01/2020,County Durham,Fatal,Fine no high winds.,Frost or Ice,POINT (-1.554843 54.785773)
-1.429474,54.642603,Durham Constabulary,28/12/2020,County Durham,Fatal,Fine no high winds.,Frost or Ice,POINT (-1.429474 54.642603)
-1.726679,55.278922,Northumbria Police,4/4/2019,Northumberland,Fatal,Snowing no high winds.,Frost or Ice,POINT (-1.726679 55.278922)
-1.473428,54.957905,Northumbria Police,21/01/2018,South Tyneside,Fatal,Fine no high winds.,Frost or Ice,POINT (-1.473428 54.957905)
-1.822948,55.099249,Northumbria Police,29/11/2017,Northumberland,Fatal,Fine no high winds.,Frost or Ice,POINT (-1.822948 55.099249)
-1.786924,54.841128,Durham Constabulary,29/12/2017,County Durham,Fatal,Snowing no high winds.,Snow,POINT (-1.786924 54.841128)
-2.320068,54.977616,Northumbria Police,15/02/2016,Northumberland,Fatal,Fine no high winds.,Frost or Ice,POINT (-2.320068 54.977616)
-1.663903,54.693856,Durham Constabulary,5/3/2016,County Durham,Fatal,Fine no high winds.,Frost or Ice,POINT (-1.663903 54.693856)
